LTV,Mortgage,Initial interest rate,"Followed by a Variable Rate, currently",Initial interest rate period,Overall cost for comparison (APRC),Booking fee,Annual overpayment allowance,Maximum loan amount, 
90% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.44% fixed,3.79%,3 Years fixed rate until 31.07.25,3.60% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.54% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.44% fixed,3.79%,5 Years fixed rate until 31.07.27,3.40% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.41% fixed,3.79%,5 Years fixed rate until 31.07.27,3.40% APRC,£1499,10%,"£ 550,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.19% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.99% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.24% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.09% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.24% fixed,3.79%,5 Years fixed rate until 31.07.27,3.20% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.09% fixed,3.79%,5 Years fixed rate until 31.07.27,3.20% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.06% fixed,3.79%,5 Years fixed rate until 31.07.27,3.20% APRC,£1499,10%,"£ 5,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.24% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Standard ,2.09% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.29% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.14% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.29% fixed,3.79%,5 Years fixed rate until 31.07.27,3.20% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.14% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.11% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£1499,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.24% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Standard ,2.09% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.29% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.14% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.29% fixed,3.79%,5 Years fixed rate until 31.07.27,3.20% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.14% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.11% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£1499,10%,"£ 2,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.24% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Standard ,2.09% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.34% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.19% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.34% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.19% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.16% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£1499,10%,"£ 1,000,000"
85% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.29% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),2 Year Fixed Standard ,2.14% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.39% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.24% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.39% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.24% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.21% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£1499,10%,"£ 750,000"
90% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,2.39% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),2 Year Fixed Standard ,2.24% fixed,3.79%,2 Years fixed rate until 31.07.24,3.60% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.54% fixed,3.79%,3 Years fixed rate until 31.07.25,3.50% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.44% fixed,3.79%,3 Years fixed rate until 31.07.25,3.60% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.54% fixed,3.79%,5 Years fixed rate until 31.07.27,3.30% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.44% fixed,3.79%,5 Years fixed rate until 31.07.27,3.40% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.41% fixed,3.79%,5 Years fixed rate until 31.07.27,3.40% APRC,£1499,10%,"£ 550,000"
60% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.69% variable,3.79%,2 Years,3.50% APRC,£999,NA,"£ 5,000,000"
70% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.74% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.74% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 2,000,000"
80% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.99% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 1,000,000"
85% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,2.04% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 750,000"
90% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,2.09% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 550,000"
60% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.69% variable,3.79%,2 Years,3.50% APRC,£999,NA,"£ 5,000,000"
70% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.74% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.74% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 2,000,000"
80% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,1.99% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 1,000,000"
85% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,2.04% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 750,000"
90% Maximum Loan to Value (LTV),2 Year Term Tracker Standard ,2.09% variable,3.79%,2 Years,3.60% APRC,£999,NA,"£ 550,000"
