LTV,Mortgage,Initial interest rate,"Followed by a Variable Rate, currently",Initial interest rate period,Overall cost for comparison (APRC),Booking fee,Annual overpayment allowance,Maximum loan amount, 
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.59% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.29% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.64% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.44% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.64% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.44% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.41% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£1499,10%,"£ 5,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.64% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.39% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.69% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.49% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.69% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.49% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.46% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£1499,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.64% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.39% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.74% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.54% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.74% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.54% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.51% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£1499,10%,"£ 2,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.69% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.44% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.89% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.69% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.89% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.69% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.66% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£1499,10%,"£ 1,000,000"
85% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.74% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.49% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.04% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.79% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.04% fixed,3.54%,5 Years fixed rate until 30.04.27,3.0% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.79% fixed,3.54%,5 Years fixed rate until 30.04.27,3.0% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.76% fixed,3.54%,5 Years fixed rate until 30.04.27,3.0% APRC,£1499,10%,"£ 750,000"
90% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.94% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.64% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.39% fixed,3.54%,3 Years fixed rate until 30.04.25,3.3% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.19% fixed,3.54%,3 Years fixed rate until 30.04.25,3.3% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.39% fixed,3.54%,5 Years fixed rate until 30.04.27,3.1% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.19% fixed,3.54%,5 Years fixed rate until 30.04.27,3.1% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,2.16% fixed,3.54%,5 Years fixed rate until 30.04.27,3.1% APRC,£1499,10%,"£ 550,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.59% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.29% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.64% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.44% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.64% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£0,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.44% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£999,10%,"£ 5,000,000"
60% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.41% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£1499,10%,"£ 5,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.64% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.39% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.69% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.49% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.69% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£0,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.49% fixed,3.54%,5 Years fixed rate until 30.04.27,2.8% APRC,£999,10%,"£ 2,000,000"
70% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.46% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£1499,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.64% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.39% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.74% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.54% fixed,3.54%,3 Years fixed rate until 30.04.25,3.1% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.74% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£0,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.54% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£999,10%,"£ 2,000,000"
75% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.51% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£1499,10%,"£ 2,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.69% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.44% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,1.89% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.69% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,1.89% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£0,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.69% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£999,10%,"£ 1,000,000"
80% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.66% fixed,3.54%,5 Years fixed rate until 30.04.27,2.9% APRC,£1499,10%,"£ 1,000,000"
85% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.74% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.49% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.04% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),3 Year Fixed Standard ,1.79% fixed,3.54%,3 Years fixed rate until 30.04.25,3.2% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.04% fixed,3.54%,5 Years fixed rate until 30.04.27,3.0% APRC,£0,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Standard ,1.79% fixed,3.54%,5 Years fixed rate until 30.04.27,3.0% APRC,£999,10%,"£ 750,000"
85% Maximum Loan to Value (LTV),5 Year Fixed Premier Standard ,1.76% fixed,3.54%,5 Years fixed rate until 30.04.27,3.0% APRC,£1499,10%,"£ 750,000"
90% Maximum Loan to Value (LTV),2 Year Fixed Fee Saver ,1.94% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),2 Year Fixed Standard ,1.64% fixed,3.54%,2 Years fixed rate until 30.04.24,3.3% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),3 Year Fixed Fee Saver ,2.39% fixed,3.54%,3 Years fixed rate until 30.04.25,3.3% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),3 Year Fixed Standard ,2.19% fixed,3.54%,3 Years fixed rate until 30.04.25,3.3% APRC,£999,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Fee Saver ,2.39% fixed,3.54%,5 Years fixed rate until 30.04.27,3.1% APRC,£0,10%,"£ 550,000"
90% Maximum Loan to Value (LTV),5 Year Fixed Standard ,2.19% fixed,3.54%,5 Years fixed rate until 30.04.27,3.1% APRC,£999,10%,"£ 550,000"
